TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
30,3052,Thermal Base Layer Set - Women's,Ski,Backup,Sale,2025-09-04,-48,110.67,-5312.16,SO-30389,Customer Sale,47,-1,warehouse2,Transaction processed for Backup location,system,2025-09-04
31,1542,TrailWalker Hiking Shoes,Camping,Backup,Sale,2025-07-29,-20,92.66,-1853.2,SO-29485,Customer Sale,82,62,system,Transaction processed for Backup location,system,2025-07-29
32,3091,Freestyle Snowboard - 155cm,Ski,Main,Sale,2025-07-04,-8,488.49,-3907.92,SO-86155,Customer Sale,190,182,warehouse1,Transaction processed for Main location,system,2025-07-04
33,3091,Freestyle Snowboard - 155cm,Ski,Main,Adjustment,2025-12-18,-3,488.49,-1465.47,ADJ-33,Physical Count,227,224,warehouse2,Transaction processed for Main location,system,2025-12-18
34,3061,Professional Ski Helmet,Ski,Main,Sale,2025-07-02,-44,144.99,-6379.56,SO-23509,Customer Sale,140,96,system,Transaction processed for Main location,system,2025-07-02
35,2071,Baking Pan,Kitchen,Main,Receipt,2025-12-04,27,16.95,457.53,PO-4646,Purchase Order Receipt,121,148,warehouse1,Transaction processed for Main location,system,2025-12-04
36,3033,Women's Performance Ski Boots,Ski,Main,Receipt,2025-11-11,159,420.9,66922.37,PO-1307,Purchase Order Receipt,15,174,system,Transaction processed for Main location,system,2025-11-11
37,3081,All-Temp Ski Wax Kit,Ski,Backup,Sale,2025-12-19,-15,56.17,-842.55,SO-38962,Customer Sale,83,68,warehouse2,Transaction processed for Backup location,system,2025-12-19
38,1562,PowerBurner Camping Stove,Camping,Main,Sale,2026-03-30,-19,137.5,-2612.5,SO-39226,Customer Sale,65,46,warehouse1,Transaction processed for Main location,system,2026-03-30
39,3031,Pro Flex Racing Ski Boots,Ski,Main,Sale,2026-02-02,-35,497.38,-17408.3,SO-56653,Customer Sale,52,17,system,Transaction processed for Main location,system,2026-02-02
40,1563,CompactCook Camping Stove,Camping,Backup,Receipt,2025-12-12,18,78.25,1408.52,PO-2914,Purchase Order Receipt,48,66,warehouse2,Transaction processed for Backup location,system,2025-12-12
41,2101,Measuring Cup Set,Kitchen,Main,Receipt,2025-07-04,44,13.27,583.97,PO-6984,Purchase Order Receipt,80,124,warehouse2,Transaction processed for Main location,system,2025-07-04
42,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,Receipt,2025-10-19,105,676.24,71005.62,PO-3281,Purchase Order Receipt,79,184,warehouse2,Transaction processed for Main location,system,2025-10-19
43,2061,Mixing Bowl,Kitchen,Main,Sale,2025-09-29,-12,25.99,-311.88,SO-54872,Customer Sale,33,21,warehouse2,Transaction processed for Main location,system,2025-09-29
44,1562,PowerBurner Camping Stove,Camping,Backup,Sale,2025-11-15,-24,137.5,-3300.0,SO-37575,Customer Sale,30,6,warehouse2,Transaction processed for Backup location,system,2025-11-15
45,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,Sale,2026-03-16,-43,352.91,-15175.13,SO-74319,Customer Sale,17,-26,system,Transaction processed for Backup location,system,2026-03-16
46,1521,Adventurer Pro Backpack,Camping,Main,Receipt,2025-11-05,192,150.61,28917.47,PO-5880,Purchase Order Receipt,48,240,system,Transaction processed for Main location,system,2025-11-05
47,1512,SkyView 2-Person Tent,Camping,Main,Adjustment,2025-10-24,19,251.46,4777.74,ADJ-47,Physical Count,68,87,system,Transaction processed for Main location,system,2025-10-24
48,1523,TrailLite Daypack,Camping,Main,Receipt,2025-10-11,92,54.14,4981.19,PO-4809,Purchase Order Receipt,125,217,warehouse2,Transaction processed for Main location,system,2025-10-11
49,3101,Winter Boots - Insulated,Ski,Backup,Adjustment,2025-08-08,-3,97.44,-292.32,ADJ-49,System Correction,85,82,system,Transaction processed for Backup location,system,2025-08-08
50,3022,Backcountry Explorer XC Skis - 190cm,Ski,Backup,Receipt,2026-03-21,51,332.77,16971.11,PO-1868,Purchase Order Receipt,39,90,warehouse2,Transaction processed for Backup location,system,2026-03-21
51,2112,4-Slice Toaster,Kitchen,Main,Receipt,2025-12-14,38,69.1,2625.79,PO-1445,Purchase Order Receipt,234,272,warehouse1,Transaction processed for Main location,system,2025-12-14
52,1532,TrailBlaze Hiking Pants,Camping,Main,Sale,2025-12-06,-31,67.5,-2092.5,SO-13263,Customer Sale,26,-5,system,Transaction processed for Main location,system,2025-12-06
53,1562,PowerBurner Camping Stove,Camping,Backup,Sale,2026-02-02,-29,137.5,-3987.5,SO-24860,Customer Sale,31,2,warehouse1,Transaction processed for Backup location,system,2026-02-02
54,2061,Mixing Bowl,Kitchen,Backup,Sale,2025-12-04,-42,25.99,-1091.58,SO-91232,Customer Sale,13,-29,system,Transaction processed for Backup location,system,2025-12-04
55,2121,Bamboo Cutting Board Set,Kitchen,Backup,Receipt,2025-12-30,127,31.79,4036.91,PO-3877,Purchase Order Receipt,66,193,warehouse1,Transaction processed for Backup location,system,2025-12-30
56,2101,Measuring Cup Set,Kitchen,Main,Adjustment,2025-08-30,3,13.33,39.99,ADJ-56,Cycle Count,63,66,system,Transaction processed for Main location,system,2025-08-30
57,3022,Backcountry Explorer XC Skis - 190cm,Ski,Backup,Receipt,2026-02-08,58,338.59,19638.31,PO-9674,Purchase Order Receipt,94,152,warehouse2,Transaction processed for Backup location,system,2026-02-08
58,3033,Women's Performance Ski Boots,Ski,Main,Sale,2025-09-07,-45,438.44,-19729.8,SO-78055,Customer Sale,48,3,warehouse2,Transaction processed for Main location,system,2025-09-07
59,2041,Serving Platter,Kitchen,Backup,Return,2025-09-26,5,34.26,171.28,RET-64603,Customer Return,27,32,system,Transaction processed for Backup location,system,2025-09-26
60,1523,TrailLite Daypack,Camping,Backup,Sale,2025-12-11,-32,53.51,-1712.32,SO-58315,Customer Sale,25,-7,warehouse1,Transaction processed for Backup location,system,2025-12-11
61,1552,TrekMaster Camping Chair,Camping,Main,Receipt,2025-09-28,65,54.27,3527.5,PO-8286,Purchase Order Receipt,12,77,system,Transaction processed for Main location,system,2025-09-28
62,3061,Professional Ski Helmet,Ski,Main,Sale,2025-08-04,-22,144.99,-3189.78,SO-25338,Customer Sale,87,65,system,Transaction processed for Main location,system,2025-08-04
63,3062,Anti-Fog Ski Goggles,Ski,Main,Adjustment,2025-11-18,-2,86.98,-173.96,ADJ-63,Physical Count,121,119,system,Transaction processed for Main location,system,2025-11-18
64,1521,Adventurer Pro Backpack,Camping,Main,Transfer,2025-07-08,-19,151.56,-2879.64,TRF-9724,Warehouse Transfer,1,-18,warehouse1,Transaction processed for Main location,system,2025-07-08
65,1532,TrailBlaze Hiking Pants,Camping,Backup,Sale,2026-03-10,-20,67.5,-1350.0,SO-47227,Customer Sale,95,75,system,Transaction processed for Backup location,system,2026-03-10
66,1553,Adventure Dining Table,Camping,Regional,Adjustment,2026-03-23,-14,112.72,-1578.08,ADJ-66,Cycle Count,147,133,warehouse1,Transaction processed for Regional location,system,2026-03-23
67,3051,Insulated Ski Jacket - Men's,Ski,Main,Sale,2025-10-20,-37,235.56,-8715.72,SO-61527,Customer Sale,49,12,warehouse2,Transaction processed for Main location,system,2025-10-20
68,3061,Professional Ski Helmet,Ski,Main,Sale,2025-11-05,-26,144.99,-3769.74,SO-71522,Customer Sale,40,14,system,Transaction processed for Main location,system,2025-11-05
69,1512,SkyView 2-Person Tent,Camping,Backup,Receipt,2025-12-12,10,258.36,2583.63,PO-7270,Purchase Order Receipt,34,44,warehouse2,Transaction processed for Backup location,system,2025-12-12
70,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,Adjustment,2025-09-11,14,662.59,9276.26,ADJ-70,Physical Count,64,78,system,Transaction processed for Main location,system,2025-09-11
71,2012,Espresso Machine,Kitchen,Main,Sale,2025-07-11,-49,315.48,-15458.52,SO-84899,Customer Sale,33,-16,system,Transaction processed for Main location,system,2025-07-11
72,2041,Serving Platter,Kitchen,Backup,Sale,2025-07-16,-12,42.82,-513.84,SO-47955,Customer Sale,148,136,warehouse2,Transaction processed for Backup location,system,2025-07-16
73,2091,Spatula,Kitchen,Main,Sale,2026-04-15,-16,9.76,-156.16,SO-31516,Customer Sale,124,108,system,Transaction processed for Main location,system,2026-04-15
74,1551,BaseCamp Folding Table,Camping,Backup,Sale,2025-07-31,-50,70.32,-3516.0,SO-36743,Customer Sale,111,61,system,Transaction processed for Backup location,system,2025-07-31
75,3052,Thermal Base Layer Set - Women's,Ski,Regional,Receipt,2025-11-11,74,110.76,8195.97,PO-1354,Purchase Order Receipt,115,189,warehouse1,Transaction processed for Regional location,system,2025-11-11
76,3053,Waterproof Ski Pants,Ski,Main,Sale,2026-04-13,-20,166.37,-3327.4,SO-53776,Customer Sale,121,101,system,Transaction processed for Main location,system,2026-04-13
77,2121,Bamboo Cutting Board Set,Kitchen,Main,Receipt,2025-11-04,106,31.4,3328.51,PO-8835,Purchase Order Receipt,15,121,warehouse1,Transaction processed for Main location,system,2025-11-04
78,1521,Adventurer Pro Backpack,Camping,Main,Damage,2026-03-01,-10,151.56,-1515.6,DMG-78,Quality Issue,65,55,warehouse2,Transaction processed for Main location,system,2026-03-01
79,3081,All-Temp Ski Wax Kit,Ski,Backup,Receipt,2025-08-02,83,55.41,4599.37,PO-3165,Purchase Order Receipt,140,223,warehouse2,Transaction processed for Backup location,system,2025-08-02
80,2121,Bamboo Cutting Board Set,Kitchen,Main,Receipt,2025-10-16,154,30.99,4772.32,PO-7186,Purchase Order Receipt,129,283,warehouse1,Transaction processed for Main location,system,2025-10-16
81,1532,TrailBlaze Hiking Pants,Camping,Backup,Sale,2025-08-03,-26,67.5,-1755.0,SO-87729,Customer Sale,83,57,system,Transaction processed for Backup location,system,2025-08-03
82,1541,TrekReady Hiking Boots,Camping,Main,Sale,2026-04-30,-45,121.2,-5454.0,SO-13659,Customer Sale,189,144,warehouse2,Transaction processed for Main location,system,2026-04-30
83,1532,TrailBlaze Hiking Pants,Camping,Main,Adjustment,2025-08-19,19,67.5,1282.5,ADJ-83,Cycle Count,76,95,warehouse2,Transaction processed for Main location,system,2025-08-19
84,3061,Professional Ski Helmet,Ski,Main,Sale,2026-01-20,-23,144.99,-3334.77,SO-54706,Customer Sale,132,109,warehouse1,Transaction processed for Main location,system,2026-01-20
85,1543,TrekStar Hiking Sandals,Camping,Main,Receipt,2025-08-15,178,67.92,12089.19,PO-3882,Purchase Order Receipt,40,218,system,Transaction processed for Main location,system,2025-08-15
86,3061,Professional Ski Helmet,Ski,Main,Sale,2025-09-02,-44,144.99,-6379.56,SO-58707,Customer Sale,70,26,warehouse1,Transaction processed for Main location,system,2025-09-02
87,1562,PowerBurner Camping Stove,Camping,Main,Receipt,2025-12-15,172,140.67,24195.96,PO-8150,Purchase Order Receipt,61,233,system,Transaction processed for Main location,system,2025-12-15
88,2112,4-Slice Toaster,Kitchen,Backup,Transfer,2025-07-27,-49,69.39,-3400.11,TRF-4920,Warehouse Transfer,113,64,warehouse2,Transaction processed for Backup location,system,2025-07-27
89,3052,Thermal Base Layer Set - Women's,Ski,Backup,Sale,2026-04-15,-1,110.67,-110.67,SO-75595,Customer Sale,109,108,warehouse1,Transaction processed for Backup location,system,2026-04-15
90,2051,Ice Cream Bowl,Kitchen,Main,Receipt,2025-08-21,51,19.04,971.29,PO-6891,Purchase Order Receipt,150,201,warehouse1,Transaction processed for Main location,system,2025-08-21
91,3092,All-Mountain Snowboard - 158cm,Ski,Main,Damage,2026-01-22,-4,622.36,-2489.44,DMG-91,Quality Issue,4,0,warehouse2,Transaction processed for Main location,system,2026-01-22
92,2091,Spatula,Kitchen,Main,Sale,2026-02-19,-16,9.76,-156.16,SO-42026,Customer Sale,109,93,system,Transaction processed for Main location,system,2026-02-19
93,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Sale,2025-08-15,-49,61.48,-3012.52,SO-43677,Customer Sale,45,-4,system,Transaction processed for Backup location,system,2025-08-15
94,1512,SkyView 2-Person Tent,Camping,Main,Sale,2026-02-26,-27,251.46,-6789.42,SO-35811,Customer Sale,38,11,system,Transaction processed for Main location,system,2026-02-26
95,3081,All-Temp Ski Wax Kit,Ski,Regional,Sale,2026-03-29,-38,56.17,-2134.46,SO-49946,Customer Sale,76,38,system,Transaction processed for Regional location,system,2026-03-29
96,2121,Bamboo Cutting Board Set,Kitchen,Backup,Return,2025-09-11,3,24.24,72.72,RET-33813,Customer Return,74,77,system,Transaction processed for Backup location,system,2025-09-11
97,3081,All-Temp Ski Wax Kit,Ski,Regional,Sale,2025-09-07,-8,56.17,-449.36,SO-90180,Customer Sale,135,127,warehouse2,Transaction processed for Regional location,system,2025-09-07
98,3081,All-Temp Ski Wax Kit,Ski,Regional,Transfer,2025-10-28,-27,56.17,-1516.59,TRF-9544,Warehouse Transfer,73,46,warehouse1,Transaction processed for Regional location,system,2025-10-28
99,2041,Serving Platter,Kitchen,Backup,Sale,2025-12-16,-9,42.82,-385.38,SO-72411,Customer Sale,110,101,warehouse1,Transaction processed for Backup location,system,2025-12-16
100,1533,RainGuard Hiking Jacket,Camping,Main,Sale,2025-10-20,-42,116.73,-4902.66,SO-82314,Customer Sale,5,-37,warehouse1,Transaction processed for Main location,system,2025-10-20
101,3041,Carbon Fiber Racing Poles - 120cm,Ski,Backup,Transfer,2025-07-06,-17,122.21,-2077.57,TRF-4609,Warehouse Transfer,39,22,system,Transaction processed for Backup location,system,2025-07-06
102,2061,Mixing Bowl,Kitchen,Main,Sale,2026-02-04,-8,25.99,-207.92,SO-50560,Customer Sale,93,85,system,Transaction processed for Main location,system,2026-02-04
103,2012,Espresso Machine,Kitchen,Backup,Receipt,2025-09-14,199,322.74,64225.32,PO-8260,Purchase Order Receipt,71,270,system,Transaction processed for Backup location,system,2025-09-14
104,3021,Nordic Classic XC Skis - 185cm,Ski,Main,Sale,2026-03-24,-39,259.09,-10104.51,SO-21930,Customer Sale,65,26,warehouse1,Transaction processed for Main location,system,2026-03-24
105,3061,Professional Ski Helmet,Ski,Main,Adjustment,2025-12-16,11,144.99,1594.89,ADJ-105,System Correction,95,106,system,Transaction processed for Main location,system,2025-12-16
106,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,Receipt,2025-08-01,41,337.95,13855.8,PO-4004,Purchase Order Receipt,142,183,warehouse2,Transaction processed for Backup location,system,2025-08-01
107,1542,TrailWalker Hiking Shoes,Camping,Backup,Receipt,2025-08-18,13,93.3,1212.88,PO-3186,Purchase Order Receipt,95,108,warehouse2,Transaction processed for Backup location,system,2025-08-18
108,3081,All-Temp Ski Wax Kit,Ski,Regional,Sale,2025-09-12,-19,56.17,-1067.23,SO-77683,Customer Sale,7,-12,warehouse2,Transaction processed for Regional location,system,2025-09-12
109,2111,High-Speed Blender,Kitchen,Main,Sale,2026-03-31,-50,147.2,-7360.0,SO-29679,Customer Sale,44,-6,warehouse1,Transaction processed for Main location,system,2026-03-31
110,2081,Food Storage Set,Kitchen,Main,Return,2025-07-16,4,22.13,88.51,RET-58865,Customer Return,39,43,system,Transaction processed for Main location,system,2025-07-16
111,3033,Women's Performance Ski Boots,Ski,Main,Receipt,2025-10-31,105,447.04,46939.26,PO-9137,Purchase Order Receipt,76,181,system,Transaction processed for Main location,system,2025-10-31
112,1512,SkyView 2-Person Tent,Camping,Main,Receipt,2026-02-20,144,248.13,35730.69,PO-7803,Purchase Order Receipt,79,223,warehouse2,Transaction processed for Main location,system,2026-02-20
113,1523,TrailLite Daypack,Camping,Main,Sale,2025-07-31,-1,53.51,-53.51,SO-83710,Customer Sale,136,135,warehouse2,Transaction processed for Main location,system,2025-07-31
114,1523,TrailLite Daypack,Camping,Backup,Sale,2026-01-24,-33,53.51,-1765.83,SO-43789,Customer Sale,108,75,warehouse1,Transaction processed for Backup location,system,2026-01-24
115,1562,PowerBurner Camping Stove,Camping,Backup,Return,2026-01-30,3,110.0,330.0,RET-42053,Customer Return,66,69,warehouse1,Transaction processed for Backup location,system,2026-01-30
116,1522,SummitClimber Backpack,Camping,Regional,Sale,2025-12-25,-9,145.39,-1308.51,SO-96545,Customer Sale,72,63,system,Transaction processed for Regional location,system,2025-12-25
117,2012,Espresso Machine,Kitchen,Main,Transfer,2026-03-26,-34,315.48,-10726.32,TRF-1291,Warehouse Transfer,28,-6,system,Transaction processed for Main location,system,2026-03-26
118,1551,BaseCamp Folding Table,Camping,Backup,Receipt,2025-12-01,44,67.5,2970.06,PO-6599,Purchase Order Receipt,13,57,warehouse2,Transaction processed for Backup location,system,2025-12-01
119,1563,CompactCook Camping Stove,Camping,Backup,Receipt,2026-01-13,136,74.64,10150.39,PO-7214,Purchase Order Receipt,82,218,system,Transaction processed for Backup location,system,2026-01-13
120,1542,TrailWalker Hiking Shoes,Camping,Backup,Adjustment,2025-09-01,-15,92.66,-1389.9,ADJ-120,System Correction,45,30,warehouse2,Transaction processed for Backup location,system,2025-09-01
121,3081,All-Temp Ski Wax Kit,Ski,Regional,Receipt,2025-08-27,131,58.03,7601.42,PO-8513,Purchase Order Receipt,173,304,system,Transaction processed for Regional location,system,2025-08-27
122,1533,RainGuard Hiking Jacket,Camping,Main,Adjustment,2025-11-07,-12,116.73,-1400.76,ADJ-122,Cycle Count,6,-6,warehouse1,Transaction processed for Main location,system,2025-11-07
123,3052,Thermal Base Layer Set - Women's,Ski,Backup,Return,2026-03-07,5,88.54,442.68,RET-96664,Customer Return,73,78,warehouse2,Transaction processed for Backup location,system,2026-03-07
124,1542,TrailWalker Hiking Shoes,Camping,Main,Return,2026-02-18,3,74.13,222.38,RET-50785,Customer Return,87,90,system,Transaction processed for Main location,system,2026-02-18
125,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Sale,2025-10-25,-16,61.48,-983.68,SO-89225,Customer Sale,101,85,system,Transaction processed for Main location,system,2025-10-25
126,1523,TrailLite Daypack,Camping,Backup,Transfer,2025-09-23,-13,53.51,-695.63,TRF-4108,Warehouse Transfer,32,19,warehouse2,Transaction processed for Backup location,system,2025-09-23
127,2011,Coffee Maker,Kitchen,Main,Sale,2026-03-19,-2,127.27,-254.54,SO-47980,Customer Sale,215,213,warehouse1,Transaction processed for Main location,system,2026-03-19
128,1562,PowerBurner Camping Stove,Camping,Backup,Sale,2025-12-01,-21,137.5,-2887.5,SO-93316,Customer Sale,34,13,warehouse2,Transaction processed for Backup location,system,2025-12-01
129,2081,Food Storage Set,Kitchen,Main,Damage,2026-02-03,-4,27.66,-110.64,DMG-129,Quality Issue,119,115,warehouse2,Transaction processed for Main location,system,2026-02-03
130,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Main,Receipt,2026-03-12,176,670.72,118047.43,PO-8126,Purchase Order Receipt,56,232,warehouse1,Transaction processed for Main location,system,2026-03-12
131,1553,Adventure Dining Table,Camping,Regional,Sale,2025-08-04,-44,112.72,-4959.68,SO-85471,Customer Sale,121,77,system,Transaction processed for Regional location,system,2025-08-04
132,1511,Alpine Explorer Tent,Camping,Backup,Sale,2025-08-21,-15,327.59,-4913.85,SO-95356,Customer Sale,9,-6,warehouse1,Transaction processed for Backup location,system,2025-08-21
133,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2025-08-02,-28,122.21,-3421.88,SO-79192,Customer Sale,59,31,warehouse1,Transaction processed for Main location,system,2025-08-02
134,2101,Measuring Cup Set,Kitchen,Main,Receipt,2025-11-13,145,13.66,1980.56,PO-5465,Purchase Order Receipt,139,284,system,Transaction processed for Main location,system,2025-11-13
135,3022,Backcountry Explorer XC Skis - 190cm,Ski,Backup,Sale,2025-10-05,-34,347.02,-11798.68,SO-83052,Customer Sale,122,88,warehouse2,Transaction processed for Backup location,system,2025-10-05
136,1581,LED Headlamp - Rechargeable,Camping,Main,Receipt,2025-10-13,48,59.5,2855.84,PO-5934,Purchase Order Receipt,209,257,system,Transaction processed for Main location,system,2025-10-13
137,3081,All-Temp Ski Wax Kit,Ski,Backup,Adjustment,2026-01-08,7,56.17,393.19,ADJ-137,Cycle Count,101,108,warehouse2,Transaction processed for Backup location,system,2026-01-08
138,3071,Ski Boot Bag - Premium,Ski,Main,Sale,2025-12-21,-29,40.38,-1171.02,SO-38858,Customer Sale,267,238,warehouse2,Transaction processed for Main location,system,2025-12-21
139,1541,TrekReady Hiking Boots,Camping,Main,Adjustment,2026-03-04,17,121.2,2060.4,ADJ-139,Cycle Count,208,225,warehouse1,Transaction processed for Main location,system,2026-03-04
140,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Receipt,2025-08-21,75,60.56,4541.96,PO-7420,Purchase Order Receipt,30,105,warehouse1,Transaction processed for Main location,system,2025-08-21
141,3053,Waterproof Ski Pants,Ski,Main,Sale,2026-01-17,-14,166.37,-2329.18,SO-38862,Customer Sale,199,185,warehouse2,Transaction processed for Main location,system,2026-01-17
142,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2025-07-14,-22,122.21,-2688.62,SO-18340,Customer Sale,101,79,warehouse1,Transaction processed for Main location,system,2025-07-14
143,1542,TrailWalker Hiking Shoes,Camping,Main,Sale,2025-12-07,-31,92.66,-2872.46,SO-15123,Customer Sale,81,50,warehouse1,Transaction processed for Main location,system,2025-12-07
144,2061,Mixing Bowl,Kitchen,Backup,Receipt,2026-04-01,50,26.3,1314.75,PO-7883,Purchase Order Receipt,83,133,warehouse1,Transaction processed for Backup location,system,2026-04-01
145,1542,TrailWalker Hiking Shoes,Camping,Backup,Sale,2026-03-28,-47,92.66,-4355.02,SO-94089,Customer Sale,92,45,warehouse2,Transaction processed for Backup location,system,2026-03-28
146,3032,Comfort Fit Recreational Boots,Ski,Backup,Transfer,2025-12-29,-43,252.31,-10849.33,TRF-6907,Warehouse Transfer,22,-21,warehouse1,Transaction processed for Backup location,system,2025-12-29
147,1532,TrailBlaze Hiking Pants,Camping,Main,Receipt,2025-12-30,124,65.88,8169.46,PO-1566,Purchase Order Receipt,115,239,warehouse2,Transaction processed for Main location,system,2025-12-30
148,3051,Insulated Ski Jacket - Men's,Ski,Main,Receipt,2025-10-09,23,237.24,5456.47,PO-8690,Purchase Order Receipt,40,63,warehouse2,Transaction processed for Main location,system,2025-10-09
