CustomerID,CustomerTypeID,TradeNameID,TradeName,PeriodStartDate,PeriodEndDate,CustomerTradeNameNote
CID-390,Business,TN-114,Fabrikam Solutions,2/22/2021,5/10/2022,Generated business trade name for compliance testing
CID-391,Government,TN-115,Callisto State Department,11/2/2018,,Generated government trade name for compliance testing
CID-394,Business,TN-116,Fabrikam Technologies,4/7/2021,,Generated business trade name for compliance testing
CID-396,Government,TN-117,Uranus Federal Bureau,9/19/2018,9/26/2020,Generated government trade name for compliance testing
CID-397,Business,TN-118,Contoso Industries,1/3/2020,,Generated business trade name for compliance testing
CID-399,Business,TN-119,Contoso Group,9/27/2021,,Generated business trade name for compliance testing
CID-400,Business,TN-120,Fabrikam Solutions,6/25/2021,,Generated business trade name for compliance testing
CID-402,Government,TN-121,Venus Regional Office,11/29/2018,,Generated government trade name for compliance testing
CID-404,Business,TN-122,Contoso Technology,4/24/2020,3/30/2022,Generated business trade name for compliance testing
CID-406,Business,TN-123,Fabrikam Solutions,10/3/2021,,Generated business trade name for compliance testing
CID-409,Government,TN-124,Venus Regional Office,7/1/2019,,Generated government trade name for compliance testing
CID-412,Government,TN-125,Callisto State Department,8/10/2018,,Generated government trade name for compliance testing
CID-413,Government,TN-126,Planet Mars Authority,8/21/2020,,Generated government trade name for compliance testing
CID-420,Business,TN-127,Fabrikam Services,12/18/2019,,Generated business trade name for compliance testing
CID-421,Business,TN-128,Contoso Group,4/2/2019,10/15/2020,Generated business trade name for compliance testing
CID-422,Business,TN-129,Fabrikam Manufacturing,11/4/2019,,Generated business trade name for compliance testing
CID-428,Business,TN-130,Contoso Solutions,7/26/2019,,Generated business trade name for compliance testing
CID-432,Business,TN-131,Fabrikam Manufacturing,10/23/2021,,Generated business trade name for compliance testing
CID-436,Business,TN-132,Fabrikam Group,2/26/2018,,Generated business trade name for compliance testing
CID-438,Business,TN-133,Fabrikam Inc,1/1/2019,,Generated business trade name for compliance testing
CID-439,Business,TN-134,Fabrikam Inc,3/20/2018,,Generated business trade name for compliance testing
CID-442,Government,TN-135,Uranus Federal Bureau,12/9/2019,,Generated government trade name for compliance testing
CID-445,Business,TN-136,Fabrikam Group,6/12/2020,,Generated business trade name for compliance testing
CID-446,Government,TN-137,Europa Space Authority,8/25/2018,,Generated government trade name for compliance testing
CID-447,Government,TN-138,Titan Regional Services,1/25/2019,,Generated government trade name for compliance testing
CID-448,Business,TN-139,Fabrikam Solutions,1/4/2018,,Generated business trade name for compliance testing
CID-451,Business,TN-140,Contoso Services,1/16/2020,,Generated business trade name for compliance testing
CID-454,Government,TN-141,Ganymede Municipal Office,11/8/2019,,Generated government trade name for compliance testing
CID-463,Business,TN-142,Contoso Enterprises,9/8/2019,,Generated business trade name for compliance testing
CID-465,Government,TN-143,Ganymede Municipal Office,4/16/2020,,Generated government trade name for compliance testing
CID-468,Business,TN-144,Fabrikam Systems,2/9/2021,,Generated business trade name for compliance testing
CID-470,Government,TN-145,Uranus Federal Bureau,9/23/2021,,Generated government trade name for compliance testing
CID-472,Government,TN-146,Ganymede Municipal Office,12/23/2018,,Generated government trade name for compliance testing
CID-474,Business,TN-147,Fabrikam Systems,4/11/2020,,Generated business trade name for compliance testing
CID-476,Government,TN-148,Planet Mars Authority,9/15/2019,,Generated government trade name for compliance testing
CID-479,Government,TN-149,Uranus Federal Bureau,4/2/2021,,Generated government trade name for compliance testing
CID-486,Government,TN-150,Mercury City Government,8/10/2020,,Generated government trade name for compliance testing
CID-489,Government,TN-151,Ganymede Municipal Office,3/14/2019,,Generated government trade name for compliance testing
CID-490,Business,TN-152,Contoso Technology,9/11/2021,,Generated business trade name for compliance testing
CID-499,Government,TN-153,Europa Space Authority,9/21/2021,,Generated government trade name for compliance testing
CID-500,Government,TN-154,Mercury City Government,7/11/2018,,Generated government trade name for compliance testing
CID-504,Business,TN-155,Contoso Group,10/9/2021,,Generated business trade name for compliance testing
CID-507,Government,TN-156,Venus Regional Office,10/29/2018,7/5/2020,Generated government trade name for compliance testing
CID-508,Business,TN-157,Fabrikam Industries,6/5/2021,,Generated business trade name for compliance testing
CID-509,Government,TN-158,Jupiter Department of Commerce,7/21/2020,,Generated government trade name for compliance testing
CID-510,Business,TN-159,Contoso Services,11/27/2021,,Generated business trade name for compliance testing
CID-513,Government,TN-160,Uranus Federal Bureau,5/15/2019,,Generated government trade name for compliance testing
