PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
29,11,PO-2026-0011,1512,SkyView 2-Person Tent,13,13.0,210.91,2741.83,Received,2026-03-05,2026-03-08,Supplier SKU: ALT-1512,system,2026-02-10
30,11,PO-2026-0011,3012,Mountain Master All-Terrain Skis - 165cm,4,4.0,567.17,2268.68,Received,2026-03-05,2026-03-08,Supplier SKU: ALT-3012,system,2026-02-10
31,11,PO-2026-0011,1511,Alpine Explorer Tent,15,15.0,288.7,4330.5,Received,2026-03-05,2026-03-08,Supplier SKU: ALT-1511,system,2026-02-10
32,12,PO-2026-0012,3013,Beginner's Choice Alpine Skis - 160cm,25,,312.31,7807.75,Pending,2026-05-03,,Supplier SKU: ALT-3013,system,2026-04-13
33,12,PO-2026-0012,1522,SummitClimber Backpack,4,,132.76,531.04,Pending,2026-05-03,,Supplier SKU: ALT-1522,system,2026-04-13
34,13,PO-2026-0013,3051,Insulated Ski Jacket - Men's,4,4.0,167.9,671.6,Received,2026-04-24,2026-04-24,Supplier SKU: WIN-3051,system,2026-04-09
35,13,PO-2026-0013,3033,Women's Performance Ski Boots,3,2.0,407.14,1221.42,Backordered,2026-04-24,2026-04-24,Supplier SKU: WIN-3033,system,2026-04-09
36,14,PO-2026-0014,3012,Mountain Master All-Terrain Skis - 165cm,11,11.0,576.86,6345.46,Received,2026-04-12,2026-04-13,Supplier SKU: SPE-3012,system,2026-03-26
37,14,PO-2026-0014,3022,Backcountry Explorer XC Skis - 190cm,5,4.0,386.94,1934.7,Backordered,2026-04-12,2026-04-13,Supplier SKU: SPE-3022,system,2026-03-26
38,14,PO-2026-0014,3021,Nordic Classic XC Skis - 185cm,15,15.0,228.78,3431.7,Received,2026-04-12,2026-04-13,Supplier SKU: SPE-3021,system,2026-03-26
39,14,PO-2026-0014,3011,Alpine Pro Racing Skis - 170cm,18,18.0,798.38,14370.84,Received,2026-04-12,2026-04-13,Supplier SKU: SPE-3011,system,2026-03-26
40,14,PO-2026-0014,3013,Beginner's Choice Alpine Skis - 160cm,11,11.0,298.3,3281.3,Received,2026-04-12,2026-04-13,Supplier SKU: SPE-3013,system,2026-03-26
41,15,PO-2026-0015,1512,SkyView 2-Person Tent,11,11.0,210.91,2320.01,Received,2026-04-15,2026-04-18,Supplier SKU: ALT-1512,system,2026-03-21
42,16,PO-2026-0016,3051,Insulated Ski Jacket - Men's,5,5.0,167.9,839.5,Received,2026-02-12,2026-02-12,Supplier SKU: WIN-3051,system,2026-01-31
43,16,PO-2026-0016,3032,Comfort Fit Recreational Boots,6,6.0,276.26,1657.56,Received,2026-02-12,2026-02-12,Supplier SKU: WIN-3032,system,2026-01-31
44,17,PO-2026-0017,2051,Ice Cream Bowl,4,4.0,15.41,61.64,Received,2026-02-22,2026-02-24,Supplier SKU: PRO-2051,system,2026-02-12
45,17,PO-2026-0017,2081,Food Storage Set,19,19.0,23.0,437.0,Received,2026-02-22,2026-02-24,Supplier SKU: PRO-2081,system,2026-02-12
46,17,PO-2026-0017,2012,Espresso Machine,19,19.0,281.0,5339.0,Received,2026-02-22,2026-02-24,Supplier SKU: PRO-2012,system,2026-02-12
47,17,PO-2026-0017,2091,Spatula,10,10.0,7.38,73.8,Received,2026-02-22,2026-02-24,Supplier SKU: PRO-2091,system,2026-02-12
48,17,PO-2026-0017,2061,Mixing Bowl,3,3.0,27.44,82.32,Received,2026-02-22,2026-02-24,Supplier SKU: PRO-2061,system,2026-02-12
49,18,PO-2026-0018,2022,Fork Set,21,21.0,28.69,602.49,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2022,system,2026-03-22
50,18,PO-2026-0018,2051,Ice Cream Bowl,7,7.0,15.41,107.87,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2051,system,2026-03-22
51,18,PO-2026-0018,2012,Espresso Machine,11,11.0,281.0,3091.0,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2012,system,2026-03-22
52,21,PO-2026-0021,1533,RainGuard Hiking Jacket,18,,107.78,1940.04,Pending,2026-05-10,,Supplier SKU: CON-1533,system,2026-04-26
53,21,PO-2026-0021,1561,EcoFire Camping Stove,24,,79.86,1916.64,Pending,2026-05-10,,Supplier SKU: CON-1561,system,2026-04-26
54,21,PO-2026-0021,1522,SummitClimber Backpack,2,,134.41,268.82,Pending,2026-05-10,,Supplier SKU: CON-1522,system,2026-04-26
55,22,PO-2026-0022,1542,TrailWalker Hiking Shoes,3,3.0,83.67,251.01,Received,2026-03-23,2026-03-26,Supplier SKU: CON-1542,system,2026-03-08
56,22,PO-2026-0022,1553,Adventure Dining Table,10,9.0,87.23,872.3,Backordered,2026-03-23,2026-03-26,Supplier SKU: CON-1553,system,2026-03-08
57,23,PO-2026-0023,3082,Edge Tuning Tool Set,15,15.0,59.43,891.45,Received,2026-03-30,2026-04-01,Supplier SKU: WIN-3082,system,2026-03-14
58,24,PO-2026-0024,3012,Mountain Master All-Terrain Skis - 165cm,13,13.0,576.86,7499.18,Received,2026-04-28,2026-04-28,Supplier SKU: SPE-3012,system,2026-04-14
59,24,PO-2026-0024,3022,Backcountry Explorer XC Skis - 190cm,7,7.0,386.94,2708.58,Received,2026-04-28,2026-04-28,Supplier SKU: SPE-3022,system,2026-04-14
60,25,PO-2026-0025,3021,Nordic Classic XC Skis - 185cm,5,,228.78,1143.9,Shipped,2026-05-10,,Supplier SKU: SPE-3021,system,2026-04-21
61,25,PO-2026-0025,3012,Mountain Master All-Terrain Skis - 165cm,15,,576.86,8652.9,Shipped,2026-05-10,,Supplier SKU: SPE-3012,system,2026-04-21
62,26,PO-2026-0026,2011,Coffee Maker,4,4.0,120.91,483.64,Received,2026-04-16,2026-04-17,Supplier SKU: PRO-2011,system,2026-04-07
63,26,PO-2026-0026,2012,Espresso Machine,24,24.0,281.0,6744.0,Received,2026-04-16,2026-04-17,Supplier SKU: PRO-2012,system,2026-04-07
64,28,PO-2026-0028,3071,Ski Boot Bag - Premium,6,6.0,34.5,207.0,Received,2026-03-29,2026-03-31,Supplier SKU: WIN-3071,system,2026-03-12
65,28,PO-2026-0028,3042,Aluminum All-Mountain Poles - 115cm,11,11.0,57.66,634.26,Received,2026-03-29,2026-03-31,Supplier SKU: WIN-3042,system,2026-03-12
66,28,PO-2026-0028,3013,Beginner's Choice Alpine Skis - 160cm,10,10.0,305.62,3056.2,Received,2026-03-29,2026-03-31,Supplier SKU: WIN-3013,system,2026-03-12
67,30,PO-2026-0030,1581,LED Headlamp - Rechargeable,3,3.0,44.25,132.75,Received,2026-03-01,2026-03-04,Supplier SKU: CON-1581,system,2026-02-18
68,30,PO-2026-0030,1551,BaseCamp Folding Table,5,5.0,56.2,281.0,Received,2026-03-01,2026-03-04,Supplier SKU: CON-1551,system,2026-02-18
69,30,PO-2026-0030,1562,PowerBurner Camping Stove,5,5.0,112.81,564.05,Received,2026-03-01,2026-03-04,Supplier SKU: CON-1562,system,2026-02-18
70,32,PO-2026-0032,3013,Beginner's Choice Alpine Skis - 160cm,10,10.0,298.3,2983.0,Received,2026-04-27,2026-04-27,Supplier SKU: SPE-3013,system,2026-04-14
71,34,PO-2026-0034,3052,Thermal Base Layer Set - Women's,6,6.0,79.81,478.86,Received,2026-03-08,2026-03-08,Supplier SKU: WIN-3052,system,2026-02-20
72,34,PO-2026-0034,3082,Edge Tuning Tool Set,13,13.0,59.43,772.59,Received,2026-03-08,2026-03-08,Supplier SKU: WIN-3082,system,2026-02-20
73,34,PO-2026-0034,3051,Insulated Ski Jacket - Men's,3,3.0,167.9,503.7,Received,2026-03-08,2026-03-08,Supplier SKU: WIN-3051,system,2026-02-20
74,35,PO-2026-0035,2101,Measuring Cup Set,4,4.0,12.84,51.36,Received,2026-03-12,2026-03-14,Supplier SKU: PRO-2101,system,2026-03-02
75,35,PO-2026-0035,2112,4-Slice Toaster,2,2.0,57.27,114.54,Received,2026-03-12,2026-03-14,Supplier SKU: PRO-2112,system,2026-03-02
76,35,PO-2026-0035,2022,Fork Set,18,18.0,28.69,516.42,Received,2026-03-12,2026-03-14,Supplier SKU: PRO-2022,system,2026-03-02
77,36,PO-2026-0036,2112,4-Slice Toaster,5,5.0,57.27,286.35,Received,2026-03-23,2026-03-26,Supplier SKU: PRO-2112,system,2026-03-13
78,36,PO-2026-0036,2051,Ice Cream Bowl,5,5.0,15.41,77.05,Received,2026-03-23,2026-03-26,Supplier SKU: PRO-2051,system,2026-03-13
79,37,PO-2026-0037,2012,Espresso Machine,10,10.0,274.97,2749.7,Received,2026-03-07,2026-03-20,Supplier SKU: ALT-2012,system,2026-02-15
80,37,PO-2026-0037,3012,Mountain Master All-Terrain Skis - 165cm,6,6.0,567.17,3403.02,Received,2026-03-07,2026-03-20,Supplier SKU: ALT-3012,system,2026-02-15
81,37,PO-2026-0037,1511,Alpine Explorer Tent,10,10.0,288.7,2887.0,Received,2026-03-07,2026-03-20,Supplier SKU: ALT-1511,system,2026-02-15
82,38,PO-2026-0038,1542,TrailWalker Hiking Shoes,2,1.0,83.67,167.34,Backordered,2026-03-24,2026-03-26,Supplier SKU: CON-1542,system,2026-03-16
83,38,PO-2026-0038,1521,Adventurer Pro Backpack,15,15.0,119.17,1787.55,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1521,system,2026-03-16
84,38,PO-2026-0038,1553,Adventure Dining Table,19,19.0,87.23,1657.37,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1553,system,2026-03-16
85,38,PO-2026-0038,1532,TrailBlaze Hiking Pants,1,1.0,54.8,54.8,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1532,system,2026-03-16
86,38,PO-2026-0038,1552,TrekMaster Camping Chair,20,20.0,45.98,919.6,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1552,system,2026-03-16
87,39,PO-2026-0039,3033,Women's Performance Ski Boots,1,0.0,407.14,407.14,Backordered,2026-02-28,2026-02-28,Supplier SKU: WIN-3033,system,2026-02-11
88,39,PO-2026-0039,3032,Comfort Fit Recreational Boots,10,10.0,276.26,2762.6,Received,2026-02-28,2026-02-28,Supplier SKU: WIN-3032,system,2026-02-11
89,39,PO-2026-0039,3052,Thermal Base Layer Set - Women's,11,11.0,79.81,877.91,Received,2026-02-28,2026-02-28,Supplier SKU: WIN-3052,system,2026-02-11
90,40,PO-2026-0040,3041,Carbon Fiber Racing Poles - 120cm,6,6.0,114.35,686.1,Received,2026-02-14,2026-02-15,Supplier SKU: WIN-3041,system,2026-02-01
91,40,PO-2026-0040,3012,Mountain Master All-Terrain Skis - 165cm,9,9.0,560.67,5046.03,Received,2026-02-14,2026-02-15,Supplier SKU: WIN-3012,system,2026-02-01
92,40,PO-2026-0040,3092,All-Mountain Snowboard - 158cm,13,13.0,488.21,6346.73,Received,2026-02-14,2026-02-15,Supplier SKU: WIN-3092,system,2026-02-01
93,42,PO-2026-0042,2101,Measuring Cup Set,13,13.0,12.84,166.92,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2101,system,2026-04-01
94,42,PO-2026-0042,2022,Fork Set,20,20.0,28.69,573.8,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2022,system,2026-04-01
95,42,PO-2026-0042,2112,4-Slice Toaster,8,8.0,57.27,458.16,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2112,system,2026-04-01
96,42,PO-2026-0042,2051,Ice Cream Bowl,5,5.0,15.41,77.05,Received,2026-04-12,2026-04-12,Supplier SKU: PRO-2051,system,2026-04-01
97,43,PO-2026-0043,3013,Beginner's Choice Alpine Skis - 160cm,9,9.0,298.3,2684.7,Received,2026-02-21,2026-02-23,Supplier SKU: SPE-3013,system,2026-02-08
98,44,PO-2026-0044,1522,SummitClimber Backpack,10,10.0,132.76,1327.6,Received,2026-03-30,2026-04-01,Supplier SKU: ALT-1522,system,2026-03-04
99,44,PO-2026-0044,1511,Alpine Explorer Tent,6,6.0,288.7,1732.2,Received,2026-03-30,2026-04-01,Supplier SKU: ALT-1511,system,2026-03-04
100,45,PO-2026-0045,1522,SummitClimber Backpack,8,8.0,132.76,1062.08,Received,2026-03-10,2026-03-13,Supplier SKU: ALT-1522,system,2026-02-15
101,45,PO-2026-0045,3013,Beginner's Choice Alpine Skis - 160cm,14,14.0,312.31,4372.34,Received,2026-03-10,2026-03-13,Supplier SKU: ALT-3013,system,2026-02-15
102,45,PO-2026-0045,1511,Alpine Explorer Tent,10,10.0,288.7,2887.0,Received,2026-03-10,2026-03-13,Supplier SKU: ALT-1511,system,2026-02-15
103,45,PO-2026-0045,1521,Adventurer Pro Backpack,19,19.0,118.13,2244.47,Received,2026-03-10,2026-03-13,Supplier SKU: ALT-1521,system,2026-02-15
104,45,PO-2026-0045,2012,Espresso Machine,9,9.0,274.97,2474.73,Received,2026-03-10,2026-03-13,Supplier SKU: ALT-2012,system,2026-02-15
105,47,PO-2026-0047,3051,Insulated Ski Jacket - Men's,5,,167.9,839.5,Pending,2026-05-02,,Supplier SKU: WIN-3051,system,2026-04-16
106,47,PO-2026-0047,3041,Carbon Fiber Racing Poles - 120cm,10,,114.35,1143.5,Pending,2026-05-02,,Supplier SKU: WIN-3041,system,2026-04-16
107,47,PO-2026-0047,3021,Nordic Classic XC Skis - 185cm,9,,230.67,2076.03,Pending,2026-05-02,,Supplier SKU: WIN-3021,system,2026-04-16
108,47,PO-2026-0047,3072,Hand Warmers - 10 Pack,9,,8.13,73.17,Pending,2026-05-02,,Supplier SKU: WIN-3072,system,2026-04-16
109,50,PO-2026-0050,2031,Coffee Mug,2,2.0,20.25,40.5,Received,2026-04-26,2026-04-28,Supplier SKU: PRO-2031,system,2026-04-17
110,50,PO-2026-0050,2061,Mixing Bowl,11,11.0,27.44,301.84,Received,2026-04-26,2026-04-28,Supplier SKU: PRO-2061,system,2026-04-17
111,50,PO-2026-0050,2012,Espresso Machine,15,11.0,281.0,4215.0,Backordered,2026-04-26,2026-04-28,Supplier SKU: PRO-2012,system,2026-04-17
112,50,PO-2026-0050,2022,Fork Set,14,14.0,28.69,401.66,Received,2026-04-26,2026-04-28,Supplier SKU: PRO-2022,system,2026-04-17
113,51,PO-2026-0051,1512,SkyView 2-Person Tent,2,2.0,197.86,395.72,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1512,system,2026-04-16
114,51,PO-2026-0051,1552,TrekMaster Camping Chair,7,7.0,45.98,321.86,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1552,system,2026-04-16
115,51,PO-2026-0051,1542,TrailWalker Hiking Shoes,1,1.0,83.67,83.67,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1542,system,2026-04-16
116,51,PO-2026-0051,1522,SummitClimber Backpack,4,4.0,134.41,537.64,Received,2026-04-24,2026-04-26,Supplier SKU: CON-1522,system,2026-04-16
117,52,PO-2026-0052,1521,Adventurer Pro Backpack,13,13.0,118.13,1535.69,Received,2026-04-26,2026-04-29,Supplier SKU: ALT-1521,system,2026-04-05
118,52,PO-2026-0052,1522,SummitClimber Backpack,9,9.0,132.76,1194.84,Received,2026-04-26,2026-04-29,Supplier SKU: ALT-1522,system,2026-04-05
119,52,PO-2026-0052,1511,Alpine Explorer Tent,7,7.0,288.7,2020.9,Received,2026-04-26,2026-04-29,Supplier SKU: ALT-1511,system,2026-04-05
120,56,PO-2026-0056,3091,Freestyle Snowboard - 155cm,5,5.0,414.73,2073.65,Received,2026-03-03,2026-03-05,Supplier SKU: WIN-3091,system,2026-02-18
121,56,PO-2026-0056,3013,Beginner's Choice Alpine Skis - 160cm,10,10.0,305.62,3056.2,Received,2026-03-03,2026-03-05,Supplier SKU: WIN-3013,system,2026-02-18
122,56,PO-2026-0056,3051,Insulated Ski Jacket - Men's,2,2.0,167.9,335.8,Received,2026-03-03,2026-03-05,Supplier SKU: WIN-3051,system,2026-02-18
123,56,PO-2026-0056,3033,Women's Performance Ski Boots,2,2.0,407.14,814.28,Received,2026-03-03,2026-03-05,Supplier SKU: WIN-3033,system,2026-02-18
124,57,PO-2026-0057,3022,Backcountry Explorer XC Skis - 190cm,3,3.0,386.94,1160.82,Received,2026-02-25,2026-02-27,Supplier SKU: SPE-3022,system,2026-02-08
125,57,PO-2026-0057,3013,Beginner's Choice Alpine Skis - 160cm,10,9.0,298.3,2983.0,Backordered,2026-02-25,2026-02-27,Supplier SKU: SPE-3013,system,2026-02-08
126,57,PO-2026-0057,3011,Alpine Pro Racing Skis - 170cm,7,7.0,798.38,5588.66,Received,2026-02-25,2026-02-27,Supplier SKU: SPE-3011,system,2026-02-08
127,57,PO-2026-0057,3012,Mountain Master All-Terrain Skis - 165cm,13,13.0,576.86,7499.18,Received,2026-02-25,2026-02-27,Supplier SKU: SPE-3012,system,2026-02-08
128,58,PO-2026-0058,3104,Ski Tuning Bench - Portable,14,14.0,115.52,1617.28,Received,2026-02-26,2026-02-28,Supplier SKU: WIN-3104,system,2026-02-15
129,58,PO-2026-0058,3052,Thermal Base Layer Set - Women's,5,5.0,79.81,399.05,Received,2026-02-26,2026-02-28,Supplier SKU: WIN-3052,system,2026-02-15
130,58,PO-2026-0058,3012,Mountain Master All-Terrain Skis - 165cm,10,10.0,560.67,5606.7,Received,2026-02-26,2026-02-28,Supplier SKU: WIN-3012,system,2026-02-15
131,61,PO-2026-0061,2051,Ice Cream Bowl,2,2.0,15.41,30.82,Received,2026-02-11,2026-02-14,Supplier SKU: PRO-2051,system,2026-01-31
132,63,PO-2026-0063,2111,High-Speed Blender,21,21.0,129.6,2721.6,Received,2026-03-16,2026-03-18,Supplier SKU: PRO-2111,system,2026-03-04
133,63,PO-2026-0063,2071,Baking Pan,15,10.0,17.53,262.95,Backordered,2026-03-16,2026-03-18,Supplier SKU: PRO-2071,system,2026-03-04
134,64,PO-2026-0064,3022,Backcountry Explorer XC Skis - 190cm,5,5.0,358.21,1791.05,Received,2026-03-30,2026-04-02,Supplier SKU: WIN-3022,system,2026-03-13
135,64,PO-2026-0064,3081,All-Temp Ski Wax Kit,10,10.0,43.8,438.0,Received,2026-03-30,2026-04-02,Supplier SKU: WIN-3081,system,2026-03-13
136,64,PO-2026-0064,3041,Carbon Fiber Racing Poles - 120cm,4,4.0,114.35,457.4,Received,2026-03-30,2026-04-02,Supplier SKU: WIN-3041,system,2026-03-13
137,66,PO-2026-0066,1523,TrailLite Daypack,8,8.0,47.3,378.4,Received,2026-02-09,2026-02-12,Supplier SKU: CON-1523,system,2026-01-31
138,66,PO-2026-0066,1522,SummitClimber Backpack,4,4.0,134.41,537.64,Received,2026-02-09,2026-02-12,Supplier SKU: CON-1522,system,2026-01-31
139,66,PO-2026-0066,1531,Summit Breeze Jacket,7,7.0,85.71,599.97,Received,2026-02-09,2026-02-12,Supplier SKU: CON-1531,system,2026-01-31
140,66,PO-2026-0066,1543,TrekStar Hiking Sandals,7,7.0,52.24,365.68,Received,2026-02-09,2026-02-12,Supplier SKU: CON-1543,system,2026-01-31
141,67,PO-2026-0067,2061,Mixing Bowl,3,,27.44,82.32,Pending,2026-05-07,,Supplier SKU: PRO-2061,system,2026-04-25
142,67,PO-2026-0067,2112,4-Slice Toaster,9,,57.27,515.43,Pending,2026-05-07,,Supplier SKU: PRO-2112,system,2026-04-25
143,67,PO-2026-0067,2041,Serving Platter,4,,43.57,174.28,Pending,2026-05-07,,Supplier SKU: PRO-2041,system,2026-04-25
144,68,PO-2026-0068,1552,TrekMaster Camping Chair,15,15.0,45.98,689.7,Received,2026-03-12,2026-03-14,Supplier SKU: CON-1552,system,2026-03-01
145,69,PO-2026-0069,3051,Insulated Ski Jacket - Men's,1,0.0,167.9,167.9,Backordered,2026-04-16,2026-04-19,Supplier SKU: WIN-3051,system,2026-04-06
146,69,PO-2026-0069,3042,Aluminum All-Mountain Poles - 115cm,10,10.0,57.66,576.6,Received,2026-04-16,2026-04-19,Supplier SKU: WIN-3042,system,2026-04-06
147,69,PO-2026-0069,3104,Ski Tuning Bench - Portable,10,10.0,115.52,1155.2,Received,2026-04-16,2026-04-19,Supplier SKU: WIN-3104,system,2026-04-06
148,69,PO-2026-0069,3013,Beginner's Choice Alpine Skis - 160cm,6,6.0,305.62,1833.72,Received,2026-04-16,2026-04-19,Supplier SKU: WIN-3013,system,2026-04-06
149,69,PO-2026-0069,3022,Backcountry Explorer XC Skis - 190cm,4,4.0,358.21,1432.84,Received,2026-04-16,2026-04-19,Supplier SKU: WIN-3022,system,2026-04-06
150,70,PO-2026-0070,2021,Chef Knife,16,,59.8,956.8,Shipped,2026-05-08,,Supplier SKU: PRO-2021,system,2026-04-28
151,72,PO-2026-0072,1511,Alpine Explorer Tent,12,12.0,281.53,3378.36,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1511,system,2026-03-09
152,72,PO-2026-0072,1543,TrekStar Hiking Sandals,9,9.0,52.24,470.16,Received,2026-03-24,2026-03-26,Supplier SKU: CON-1543,system,2026-03-09
153,73,PO-2026-0073,1552,TrekMaster Camping Chair,4,4.0,45.98,183.92,Received,2026-04-08,2026-04-10,Supplier SKU: CON-1552,system,2026-03-25
154,73,PO-2026-0073,1522,SummitClimber Backpack,1,1.0,134.41,134.41,Received,2026-04-08,2026-04-10,Supplier SKU: CON-1522,system,2026-03-25
155,73,PO-2026-0073,1561,EcoFire Camping Stove,19,19.0,79.86,1517.34,Received,2026-04-08,2026-04-10,Supplier SKU: CON-1561,system,2026-03-25
156,73,PO-2026-0073,1531,Summit Breeze Jacket,3,2.0,85.71,257.13,Backordered,2026-04-08,2026-04-10,Supplier SKU: CON-1531,system,2026-03-25
157,73,PO-2026-0073,1551,BaseCamp Folding Table,1,1.0,56.2,56.2,Received,2026-04-08,2026-04-10,Supplier SKU: CON-1551,system,2026-03-25
158,74,PO-2026-0074,1521,Adventurer Pro Backpack,17,17.0,118.13,2008.21,Received,2026-03-12,2026-03-13,Supplier SKU: ALT-1521,system,2026-02-18
159,76,PO-2026-0076,2011,Coffee Maker,4,4.0,120.91,483.64,Received,2026-02-13,2026-02-14,Supplier SKU: PRO-2011,system,2026-02-02
160,76,PO-2026-0076,2081,Food Storage Set,17,17.0,23.0,391.0,Received,2026-02-13,2026-02-14,Supplier SKU: PRO-2081,system,2026-02-02
161,76,PO-2026-0076,2101,Measuring Cup Set,8,8.0,12.84,102.72,Received,2026-02-13,2026-02-14,Supplier SKU: PRO-2101,system,2026-02-02
162,77,PO-2026-0077,1522,SummitClimber Backpack,5,,132.76,663.8,Pending,2026-05-19,,Supplier SKU: ALT-1522,system,2026-04-24
163,78,PO-2026-0078,3021,Nordic Classic XC Skis - 185cm,11,11.0,228.78,2516.58,Received,2026-03-31,2026-03-31,Supplier SKU: SPE-3021,system,2026-03-18
