TransactionID,ProductID,ProductName,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
71,3091,Freestyle Snowboard - 155cm,WH_200,Sale,2025-10-09,-26,414.73,10782.98,SO-73867,Customer Sale,58,32,System,Transaction processed for WH_200 location,system,2025-10-09
72,3031,Pro Flex Racing Ski Boots,WH_200,Sale,2025-12-30,-9,459.79,4138.11,SO-47987,Customer Sale,108,99,System,Transaction processed for WH_200 location,system,2025-12-30
73,1552,TrekMaster Camping Chair,WH_100,Damage,2025-11-20,-4,45.98,183.92,DMG-73,Warehouse Damage,109,105,System,Transaction processed for WH_100 location,system,2025-11-20
74,2121,Bamboo Cutting Board Set,WH_200,Sale,2026-01-11,-39,29.56,1152.84,SO-72599,Customer Sale,65,26,System,Transaction processed for WH_200 location,system,2026-01-11
75,3053,Waterproof Ski Pants,WH_100,Sale,2025-08-03,-31,123.28,3821.68,SO-43232,Customer Sale,31,0,System,Transaction processed for WH_100 location,system,2025-08-03
76,3071,Ski Boot Bag - Premium,WH_200,Receipt,2025-07-13,73,35.35,2580.44,PO-1778,Purchase Order Receipt,10,83,System,Transaction processed for WH_200 location,system,2025-07-13
77,2111,High-Speed Blender,WH_200,Receipt,2025-08-01,78,133.25,10393.8,PO-3233,Purchase Order Receipt,262,340,System,Transaction processed for WH_200 location,system,2025-08-01
78,1541,TrekReady Hiking Boots,WH_200,Sale,2026-04-02,-10,108.54,1085.4,SO-54801,Customer Sale,137,127,System,Transaction processed for WH_200 location,system,2026-04-02
79,1562,PowerBurner Camping Stove,WH_100,Sale,2026-02-06,-21,112.81,2369.01,SO-56970,Customer Sale,123,102,System,Transaction processed for WH_100 location,system,2026-02-06
80,1523,TrailLite Daypack,WH_100,Sale,2025-11-28,-9,47.3,425.7,SO-79714,Customer Sale,815,806,System,Transaction processed for WH_100 location,system,2025-11-28
81,2051,Ice Cream Bowl,WH_100,Receipt,2025-12-02,138,14.7,2029.0,PO-9183,Purchase Order Receipt,1107,1245,System,Transaction processed for WH_100 location,system,2025-12-02
82,2121,Bamboo Cutting Board Set,WH_100,Sale,2026-04-02,-13,29.56,384.28,SO-52898,Customer Sale,242,229,System,Transaction processed for WH_100 location,system,2026-04-02
83,1523,TrailLite Daypack,WH_100,Sale,2026-04-13,-25,47.3,1182.5,SO-46808,Customer Sale,925,900,System,Transaction processed for WH_100 location,system,2026-04-13
84,3012,Mountain Master All-Terrain Skis - 165cm,WH_100,Damage,2025-12-27,-6,568.23,3409.38,DMG-84,Warehouse Damage,20,14,System,Transaction processed for WH_100 location,system,2025-12-27
85,3104,Ski Tuning Bench - Portable,WH_100,Transfer,2025-12-12,-18,115.52,2079.36,TRF-5147,Warehouse Transfer,18,0,System,Transaction processed for WH_100 location,system,2025-12-12
86,3053,Waterproof Ski Pants,WH_100,Sale,2025-07-10,-27,123.28,3328.56,SO-20860,Customer Sale,93,66,System,Transaction processed for WH_100 location,system,2025-07-10
87,1543,TrekStar Hiking Sandals,WH_200,Sale,2025-10-12,-13,52.24,679.12,SO-19127,Customer Sale,99,86,System,Transaction processed for WH_200 location,system,2025-10-12
88,3021,Nordic Classic XC Skis - 185cm,WH_100,Adjustment,2025-12-25,17,229.72,3905.24,ADJ-88,System Correction,14,31,System,Transaction processed for WH_100 location,system,2025-12-25
89,1562,PowerBurner Camping Stove,WH_200,Sale,2026-01-05,-42,112.81,4738.02,SO-36016,Customer Sale,126,84,System,Transaction processed for WH_200 location,system,2026-01-05
90,3071,Ski Boot Bag - Premium,WH_200,Receipt,2026-03-07,162,36.12,5851.43,PO-8570,Purchase Order Receipt,5,167,System,Transaction processed for WH_200 location,system,2026-03-07
91,2041,Serving Platter,WH_500,Receipt,2025-11-07,171,41.64,7120.19,PO-8070,Purchase Order Receipt,2363,2534,System,Transaction processed for WH_500 location,system,2025-11-07
92,1563,CompactCook Camping Stove,WH_100,Transfer,2025-09-17,-28,59.37,1662.36,TRF-8481,Warehouse Transfer,155,127,System,Transaction processed for WH_100 location,system,2025-09-17
93,2121,Bamboo Cutting Board Set,WH_200,Sale,2025-07-05,-3,29.56,88.68,SO-33767,Customer Sale,104,101,System,Transaction processed for WH_200 location,system,2025-07-05
94,1552,TrekMaster Camping Chair,WH_100,Sale,2026-03-30,-5,45.98,229.9,SO-60973,Customer Sale,123,118,System,Transaction processed for WH_100 location,system,2026-03-30
95,1552,TrekMaster Camping Chair,WH_100,Sale,2025-10-31,-5,45.98,229.9,SO-18759,Customer Sale,17,12,System,Transaction processed for WH_100 location,system,2025-10-31
96,3072,Hand Warmers - 10 Pack,WH_100,Receipt,2026-01-01,176,7.88,1386.65,PO-8424,Purchase Order Receipt,34,210,System,Transaction processed for WH_100 location,system,2026-01-01
97,1531,Summit Breeze Jacket,WH_500,Sale,2025-07-23,-37,85.71,3171.27,SO-94628,Customer Sale,904,867,System,Transaction processed for WH_500 location,system,2025-07-23
98,3033,Women's Performance Ski Boots,WH_100,Sale,2025-09-02,-38,407.14,15471.32,SO-69933,Customer Sale,38,0,System,Transaction processed for WH_100 location,system,2025-09-02
99,1541,TrekReady Hiking Boots,WH_200,Sale,2026-04-29,-15,108.54,1628.1,SO-62451,Customer Sale,187,172,System,Transaction processed for WH_200 location,system,2026-04-29
100,2121,Bamboo Cutting Board Set,WH_100,Transfer,2025-12-09,-11,29.56,325.16,TRF-9135,Warehouse Transfer,246,235,System,Transaction processed for WH_100 location,system,2025-12-09
101,2111,High-Speed Blender,WH_100,Sale,2026-02-08,-49,129.6,6350.4,SO-52772,Customer Sale,375,326,System,Transaction processed for WH_100 location,system,2026-02-08
102,2112,4-Slice Toaster,WH_200,Sale,2025-11-17,-44,57.27,2519.88,SO-46366,Customer Sale,112,68,System,Transaction processed for WH_200 location,system,2025-11-17
103,2051,Ice Cream Bowl,WH_100,Sale,2025-10-31,-35,15.41,539.35,SO-13745,Customer Sale,1150,1115,System,Transaction processed for WH_100 location,system,2025-10-31
104,1533,RainGuard Hiking Jacket,WH_100,Sale,2026-01-09,-9,107.78,970.02,SO-55301,Customer Sale,172,163,System,Transaction processed for WH_100 location,system,2026-01-09
105,3031,Pro Flex Racing Ski Boots,WH_200,Receipt,2025-12-01,45,445.99,20069.77,PO-2681,Purchase Order Receipt,6,51,System,Transaction processed for WH_200 location,system,2025-12-01
106,3092,All-Mountain Snowboard - 158cm,WH_100,Transfer,2025-07-09,-28,488.21,13669.88,TRF-4410,Warehouse Transfer,93,65,System,Transaction processed for WH_100 location,system,2025-07-09
107,2051,Ice Cream Bowl,WH_100,Damage,2026-02-11,-7,15.41,107.87,DMG-107,Warehouse Damage,1158,1151,System,Transaction processed for WH_100 location,system,2026-02-11
108,3033,Women's Performance Ski Boots,WH_200,Transfer,2025-11-18,-40,407.14,16285.6,TRF-2100,Warehouse Transfer,63,23,System,Transaction processed for WH_200 location,system,2025-11-18
109,3041,Carbon Fiber Racing Poles - 120cm,WH_200,Sale,2025-11-23,-14,114.35,1600.9,SO-89376,Customer Sale,36,22,System,Transaction processed for WH_200 location,system,2025-11-23
110,1562,PowerBurner Camping Stove,WH_100,Receipt,2026-01-27,160,116.68,18668.53,PO-7416,Purchase Order Receipt,136,296,System,Transaction processed for WH_100 location,system,2026-01-27
111,1542,TrailWalker Hiking Shoes,WH_200,Sale,2026-04-13,-20,83.67,1673.4,SO-30033,Customer Sale,186,166,System,Transaction processed for WH_200 location,system,2026-04-13
112,1553,Adventure Dining Table,WH_200,Sale,2025-11-07,-29,87.23,2529.67,SO-42856,Customer Sale,131,102,System,Transaction processed for WH_200 location,system,2025-11-07
113,3031,Pro Flex Racing Ski Boots,WH_200,Transfer,2025-09-09,-33,459.79,15173.07,TRF-9215,Warehouse Transfer,33,0,System,Transaction processed for WH_200 location,system,2025-09-09
114,1552,TrekMaster Camping Chair,WH_100,Receipt,2025-11-15,85,47.21,4013.23,PO-2975,Purchase Order Receipt,0,85,System,Transaction processed for WH_100 location,system,2025-11-15
115,3091,Freestyle Snowboard - 155cm,WH_200,Sale,2026-03-15,-47,414.73,19492.31,SO-21697,Customer Sale,70,23,System,Transaction processed for WH_200 location,system,2026-03-15
116,3104,Ski Tuning Bench - Portable,WH_200,Transfer,2025-11-23,-17,115.52,1963.84,TRF-7552,Warehouse Transfer,81,64,System,Transaction processed for WH_200 location,system,2025-11-23
117,3032,Comfort Fit Recreational Boots,WH_200,Sale,2026-03-20,-13,276.26,3591.38,SO-90236,Customer Sale,77,64,System,Transaction processed for WH_200 location,system,2026-03-20
118,3092,All-Mountain Snowboard - 158cm,WH_100,Receipt,2025-09-22,39,476.28,18574.82,PO-6065,Purchase Order Receipt,18,57,System,Transaction processed for WH_100 location,system,2025-09-22
119,1541,TrekReady Hiking Boots,WH_200,Sale,2026-01-23,-10,108.54,1085.4,SO-96730,Customer Sale,10,0,System,Transaction processed for WH_200 location,system,2026-01-23
120,2112,4-Slice Toaster,WH_200,Sale,2026-03-30,-29,57.27,1660.83,SO-17384,Customer Sale,515,486,System,Transaction processed for WH_200 location,system,2026-03-30
121,3072,Hand Warmers - 10 Pack,WH_100,Transfer,2025-10-16,-49,8.13,398.37,TRF-8575,Warehouse Transfer,104,55,System,Transaction processed for WH_100 location,system,2025-10-16
122,1532,TrailBlaze Hiking Pants,WH_500,Sale,2025-10-08,-14,54.8,767.2,SO-43026,Customer Sale,271,257,System,Transaction processed for WH_500 location,system,2025-10-08
123,3082,Edge Tuning Tool Set,WH_100,Sale,2026-03-12,-16,59.43,950.88,SO-56604,Customer Sale,114,98,System,Transaction processed for WH_100 location,system,2026-03-12
124,3032,Comfort Fit Recreational Boots,WH_500,Receipt,2026-01-28,24,282.24,6773.69,PO-5050,Purchase Order Receipt,30,54,System,Transaction processed for WH_500 location,system,2026-01-28
125,1543,TrekStar Hiking Sandals,WH_100,Sale,2025-10-20,-24,52.24,1253.76,SO-84495,Customer Sale,279,255,System,Transaction processed for WH_100 location,system,2025-10-20
126,1553,Adventure Dining Table,WH_200,Adjustment,2026-03-02,10,87.23,872.3,ADJ-126,Physical Count,75,85,System,Transaction processed for WH_200 location,system,2026-03-02
127,3071,Ski Boot Bag - Premium,WH_200,Transfer,2025-07-07,-12,34.5,414.0,TRF-5737,Warehouse Transfer,25,13,System,Transaction processed for WH_200 location,system,2025-07-07
128,1581,LED Headlamp - Rechargeable,WH_100,Sale,2025-09-11,-26,44.25,1150.5,SO-44113,Customer Sale,26,0,System,Transaction processed for WH_100 location,system,2025-09-11
129,2121,Bamboo Cutting Board Set,WH_200,Receipt,2025-11-22,123,28.67,3526.03,PO-8337,Purchase Order Receipt,158,281,System,Transaction processed for WH_200 location,system,2025-11-22
130,1532,TrailBlaze Hiking Pants,WH_500,Adjustment,2025-09-27,7,54.8,383.6,ADJ-130,Cycle Count,260,267,System,Transaction processed for WH_500 location,system,2025-09-27
131,2011,Coffee Maker,WH_200,Return,2025-07-15,5,95.73,478.64,RET-75805,Customer Return,1848,1853,System,Transaction processed for WH_200 location,system,2025-07-15
132,1552,TrekMaster Camping Chair,WH_200,Sale,2025-09-04,-32,45.98,1471.36,SO-90793,Customer Sale,108,76,System,Transaction processed for WH_200 location,system,2025-09-04
133,3104,Ski Tuning Bench - Portable,WH_200,Sale,2025-12-03,-2,115.52,231.04,SO-67781,Customer Sale,30,28,System,Transaction processed for WH_200 location,system,2025-12-03
134,3062,Anti-Fog Ski Goggles,WH_500,Sale,2025-08-04,-7,71.96,503.72,SO-63239,Customer Sale,75,68,System,Transaction processed for WH_500 location,system,2025-08-04
135,3022,Backcountry Explorer XC Skis - 190cm,WH_200,Receipt,2025-09-10,56,373.85,20935.59,PO-6536,Purchase Order Receipt,103,159,System,Transaction processed for WH_200 location,system,2025-09-10
136,3062,Anti-Fog Ski Goggles,WH_500,Sale,2025-11-23,-16,71.96,1151.36,SO-70743,Customer Sale,121,105,System,Transaction processed for WH_500 location,system,2025-11-23
137,2091,Spatula,WH_200,Sale,2025-11-07,-17,7.38,125.46,SO-78895,Customer Sale,187,170,System,Transaction processed for WH_200 location,system,2025-11-07
138,1543,TrekStar Hiking Sandals,WH_100,Sale,2025-11-04,-35,52.24,1828.4,SO-95031,Customer Sale,344,309,System,Transaction processed for WH_100 location,system,2025-11-04
139,3012,Mountain Master All-Terrain Skis - 165cm,WH_200,Transfer,2025-07-20,-5,568.23,2841.15,TRF-6826,Warehouse Transfer,9,4,System,Transaction processed for WH_200 location,system,2025-07-20
140,2051,Ice Cream Bowl,WH_100,Sale,2025-09-14,-31,15.41,477.71,SO-74751,Customer Sale,1234,1203,System,Transaction processed for WH_100 location,system,2025-09-14
141,1522,SummitClimber Backpack,WH_100,Adjustment,2025-07-29,-10,133.58,1335.8,ADJ-141,System Correction,676,666,System,Transaction processed for WH_100 location,system,2025-07-29
142,1532,TrailBlaze Hiking Pants,WH_500,Return,2026-03-23,5,43.84,219.2,RET-25606,Customer Return,196,201,System,Transaction processed for WH_500 location,system,2026-03-23
143,3081,All-Temp Ski Wax Kit,WH_500,Receipt,2025-11-24,68,45.29,3079.58,PO-5214,Purchase Order Receipt,124,192,System,Transaction processed for WH_500 location,system,2025-11-24
144,3033,Women's Performance Ski Boots,WH_200,Sale,2025-09-16,-48,407.14,19542.72,SO-51321,Customer Sale,85,37,System,Transaction processed for WH_200 location,system,2025-09-16
145,3103,Snowboard Bindings - Pro,WH_200,Receipt,2025-07-29,199,186.26,37065.31,PO-9485,Purchase Order Receipt,33,232,System,Transaction processed for WH_200 location,system,2025-07-29
146,2121,Bamboo Cutting Board Set,WH_200,Receipt,2026-04-25,60,29.95,1796.88,PO-3327,Purchase Order Receipt,146,206,System,Transaction processed for WH_200 location,system,2026-04-25
147,2111,High-Speed Blender,WH_200,Sale,2026-01-15,-43,129.6,5572.8,SO-61690,Customer Sale,245,202,System,Transaction processed for WH_200 location,system,2026-01-15
148,3012,Mountain Master All-Terrain Skis - 165cm,WH_200,Sale,2026-01-31,-30,568.23,17046.9,SO-61654,Customer Sale,30,0,System,Transaction processed for WH_200 location,system,2026-01-31
149,3012,Mountain Master All-Terrain Skis - 165cm,WH_100,Adjustment,2025-09-20,15,568.23,8523.45,ADJ-149,Cycle Count,86,101,System,Transaction processed for WH_100 location,system,2025-09-20
150,3031,Pro Flex Racing Ski Boots,WH_200,Sale,2025-09-23,-31,459.79,14253.49,SO-10036,Customer Sale,91,60,System,Transaction processed for WH_200 location,system,2025-09-23
151,2051,Ice Cream Bowl,WH_100,Damage,2026-02-06,-4,15.41,61.64,DMG-151,Quality Issue,1205,1201,System,Transaction processed for WH_100 location,system,2026-02-06
152,3061,Professional Ski Helmet,WH_200,Sale,2026-02-04,-26,117.61,3057.86,SO-76841,Customer Sale,148,122,System,Transaction processed for WH_200 location,system,2026-02-04
153,1552,TrekMaster Camping Chair,WH_100,Adjustment,2025-07-22,20,45.98,919.6,ADJ-153,Physical Count,127,147,System,Transaction processed for WH_100 location,system,2025-07-22
